Rank,Word,Part of speech,Frequency,Dispersion,Copies require reference to source: http://www.wordfrequency.info (note there are swears)
393,including,preposition,103650,0.94,
394,consider,verb,101987,0.96,
395,appear,verb,100671,0.97,
396,actually,adverb,105155,0.92,
397,buy,verb,101105,0.95,
398,probably,adverb,99754,0.96,
399,human,adjective,101224,0.94,
400,wait,verb,102463,0.93,
401,serve,verb,99660,0.95,
402,market,noun,100435,0.94,
403,die,verb,98376,0.96,
404,send,verb,96613,0.97,
405,expect,verb,95566,0.98,
406,home,adverb,97937,0.95,
407,sense,noun,95896,0.97,
408,build,verb,96651,0.96,
409,stay,verb,96933,0.96,
410,fall,verb,96908,0.95,
411,oh,interjection,103613,0.89,
412,nation,noun,97212,0.95,
413,plan,noun,95824,0.96,
414,cut,verb,96012,0.95,
415,college,noun,97038,0.94,
416,interest,noun,96620,0.95,
417,death,noun,93222,0.98,
418,course,adverb,96224,0.95,
419,someone,pronoun,95608,0.95,
420,experience,noun,98106,0.93,
421,behind,preposition,95047,0.93,
422,reach,verb,92375,0.96,
423,local,adjective,92970,0.95,
424,kill,verb,92660,0.95,
425,six,numeral,90571,0.97,
426,remain,verb,91319,0.96,
427,effect,noun,95216,0.92,
428,use,noun,96564,0.9,
429,yeah,interjection,103389,0.84,
430,suggest,verb,92643,0.93,
431,class,noun,91323,0.94,
432,control,noun,90301,0.94,
433,raise,verb,87036,0.98,
434,care,noun,88862,0.96,
435,perhaps,adverb,87060,0.98,
436,little,adverb,88697,0.95,
437,late,adjective,86421,0.98,
438,hard,adjective,86817,0.97,
439,field,noun,87243,0.96,
440,else,adverb,87876,0.95,
441,pass,verb,86184,0.97,
442,former,determiner,88930,0.94,
443,sell,verb,87865,0.95,
444,major,adjective,87487,0.95,
445,sometimes,adverb,84845,0.98,
446,require,verb,89280,0.93,
447,along,preposition,84926,0.97,
448,development,noun,91995,0.9,
449,themselves,pronoun,85256,0.97,
450,report,verb,88138,0.93,
451,role,noun,88666,0.92,
452,better,adjective,83895,0.98,
453,economic,adjective,90392,0.91,
454,effort,noun,86473,0.95,
455,up,preposition,85759,0.95,
456,decide,verb,84035,0.97,
457,rate,noun,87224,0.94,
458,strong,adjective,83677,0.98,
459,possible,adjective,85084,0.96,
460,heart,noun,84536,0.96,
461,drug,noun,86231,0.94,
462,show,noun,86828,0.94,
463,leader,noun,85438,0.95,
464,light,noun,87427,0.93,
465,voice,noun,89379,0.9,
466,wife,noun,83601,0.96,
467,whole,adjective,83756,0.96,
468,police,noun,85880,0.93,
469,mind,noun,82808,0.96,
470,finally,adverb,81951,0.97,
471,pull,verb,87243,0.91,
472,return,verb,81812,0.97,
473,free,adjective,82090,0.97,
474,military,adjective,85152,0.93,
475,price,noun,84443,0.94,
476,report,noun,83174,0.95,
477,less,adverb,82930,0.95,
478,according,preposition,83773,0.94,
479,decision,noun,82429,0.95,
480,explain,verb,80797,0.97,
481,son,noun,80895,0.97,
482,hope,verb,81385,0.96,
483,even,conjunctive adverb,79087,0.98,
484,develop,verb,84835,0.92,
485,view,noun,81338,0.96,
486,relationship,noun,84549,0.92,
487,carry,verb,79513,0.97,
488,town,noun,79821,0.97,
489,road,noun,80987,0.95,
490,drive,verb,80476,0.96,
491,arm,noun,84865,0.91,
492,TRUE,adjective,79299,0.97,
493,federal,adjective,81826,0.94,
494,break,verb,79310,0.97,
495,better,adverb,78334,0.98,
496,difference,noun,82911,0.92,
497,thank,verb,88574,0.86,
498,receive,verb,80250,0.95,
499,value,noun,82942,0.92,
500,international,adjective,81610,0.93,
501,building,noun,78487,0.97,
502,action,noun,80009,0.95,
503,full,adjective,77547,0.97,
504,model,noun,82973,0.91,
505,join,verb,80609,0.93,
506,season,noun,83743,0.89,
507,society,noun,81192,0.92,
508,because,preposition,77116,0.97,
509,tax,noun,80713,0.92,
510,director,noun,79813,0.93,
511,early,adverb,75605,0.98,
512,position,noun,77124,0.96,
513,player,noun,81358,0.91,
514,agree,verb,76753,0.96,
515,especially,adverb,76304,0.96,
516,record,noun,77509,0.94,
517,pick,verb,77197,0.95,
518,wear,verb,77921,0.94,
519,paper,noun,75383,0.97,
520,special,adjective,75298,0.97,
521,space,noun,75395,0.96,
522,ground,noun,74713,0.97,
523,form,noun,78493,0.92,
524,support,verb,76544,0.94,
525,event,noun,75559,0.95,
526,official,noun,79026,0.91,
527,whose,determiner,74914,0.96,
528,matter,noun,73842,0.97,
529,everyone,pronoun,74534,0.96,
530,center,noun,74559,0.96,
531,couple,noun,74871,0.96,
532,site,noun,75932,0.94,
533,end,verb,73099,0.97,
534,project,noun,75446,0.94,
535,hit,verb,73999,0.95,
536,base,verb,75887,0.93,
537,activity,noun,77980,0.9,
538,star,noun,73695,0.95,
539,table,noun,75228,0.93,
540,need,noun,74877,0.93,
541,court,noun,74112,0.94,
542,produce,verb,74169,0.94,
543,eat,verb,73505,0.95,
544,American,noun,73063,0.95,
545,teach,verb,72668,0.95,
546,oil,noun,74386,0.93,
547,half,determiner,70930,0.97,
548,situation,noun,72603,0.95,
549,easy,adjective,71602,0.96,
550,cost,noun,73512,0.94,
551,industry,noun,73055,0.94,
552,figure,noun,74858,0.92,
553,face,verb,69493,0.98,
554,street,noun,71645,0.95,
555,image,noun,72216,0.94,
556,itself,pronoun,71093,0.96,
557,phone,noun,71599,0.95,
558,either,adverb,69497,0.97,
559,data,noun,76594,0.88,
560,cover,verb,69387,0.97,
561,quite,adverb,69966,0.96,
562,picture,noun,69229,0.97,
563,clear,adjective,68662,0.98,
564,practice,noun,73745,0.91,
565,piece,noun,68901,0.97,
566,land,noun,69750,0.96,
567,recent,adjective,70685,0.94,
568,describe,verb,71377,0.93,
569,product,noun,70883,0.94,
570,doctor,noun,69446,0.95,
571,wall,noun,71390,0.93,
572,patient,noun,72217,0.91,
573,worker,noun,69962,0.94,
574,news,noun,70051,0.94,
575,test,noun,69870,0.94,
576,movie,noun,69387,0.94,
577,certain,adjective,67228,0.97,
578,north,noun,68046,0.96,
579,love,noun,67495,0.96,
580,personal,adjective,67917,0.96,
581,open,adjective,67218,0.97,
582,support,noun,69431,0.93,
583,simply,adverb,66712,0.97,
584,third,numeral,67037,0.97,
585,technology,noun,69565,0.93,
586,catch,verb,68214,0.94,
587,step,noun,66232,0.97,
588,baby,noun,67881,0.94,
589,computer,noun,67399,0.95,
590,type,noun,68481,0.93,
591,attention,noun,65271,0.97,
592,draw,verb,65198,0.97,
593,film,noun,66724,0.95,
594,Republican,noun,71611,0.88,
